artifact,role,size_bytes,sha256,source_run,required_for
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42__target_test[ddr]_predictions.csv,predictions,2376891,9eae9383e8270adfd6fdedb72179aa815f1e529891604d606704ac0cb3ec1363,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42_evaluation.json,config/report,9447,6f0c584f83b8a25e9de41057bb98a8a88814da3c7f6c1379968bfadb904c2b9d,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1__target_test[ddr]_predictions.csv,predictions,2385180,e46b7693201af5d167157da5df49bdce4f4a83ac73721948badb07361be08d1a,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1_evaluation.json,config/report,9448,8b2d3629ee33f8c4ad670f8a2814edac87bce7d33fa5403b63286f3fb7113775,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2__target_test[ddr]_predictions.csv,predictions,2376427,cd63ca29a1a3591f8ac742b6f84dab8d00dc67f06d9e93da2979c4d32ca612d8,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2_evaluation.json,config/report,9446,4507afa54102fce6431cff0400687767fd581506b9b3fa8affb601b3aef0fc56,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3__target_test[ddr]_predictions.csv,predictions,2393998,32c9b2410dbc1e0a1c721d33ff1f7325cbba8120ebd24ecd4f06df75fa14767e,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3_evaluation.json,config/report,9438,0bd69bd48dafaa36ccda59542bb3765fba1b55a88a4867cc98d6a35d64f288bf,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4__target_test[ddr]_predictions.csv,predictions,2396322,612a44fce6f7b5f127415c741d2d2a928cf596327c35cd442d49dda0441d4134,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4_evaluation.json,config/report,9436,bf9567f13f7f8461d98a4758b2758573a7baa5985b241228196946b04c76dd1b,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s42__target_test[ddr]_predictions.csv,predictions,2413474,5ee28d972e20dc6fd65d53098aebec0cf35229dbe139e2dbcc0075e73fe443e3,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s42,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s42_evaluation.json,config/report,9429,78a68d53bcbe4622e1df425ca687f825d6cc283f8ba02ceec6c7945a23ca2be5,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s42,"temperature, config, recorded metrics"
